Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Goal_for_investment,Duration_to_save
Male,19,0,0,"Banking - RD, FD",200,Wealth generation,10
Female,24,0,0,"Banking - RD, FD",1000,Wealth generation,3
Male,24,1,400000,"Stocks - Intraday, long term",5000,Planning for finacial freedom after Retirement,10
Male,22,1,150000,Mutual Funds,2000,Wealth generation,10
Male,25,1,250000,Mutual Funds,2000,Wealth generation,15
Male,27,1,384000,Crypto currency,3000,Wealth generation,5
Male,24,1,150000,Not prepared ,2000,Planning for finacial freedom after Retirement,15
Female,22,0,0,Gold / Any other Materialistic investment,500,Personal Savings,10
Female,25,0,0,"Banking - RD, FD",2000,Personal Savings,5
Male,28,1,500000,"Stocks - Intraday, long term",5000,Wealth generation,10
Female,35,0,0,"Banking - RD, FD",2000,Children's education/ Marriage,10
Female,28,1,300000,Gold / Any other Materialistic investment,5000,Regarding your / Your Siblings marriage,3
Male,56,1,200000,Mutual Funds,1000,Planning for finacial freedom after Retirement,4
Male,23,0,0,"Stocks - Intraday, long term",500,Construction of own House / Buying a new Car,15
Female,19,0,0,"Banking - RD, FD",1000,Personal Savings,10
Male,31,1,200000,"Stocks - Intraday, long term",1000,Personal Savings,5
Male,26,0,0,"Banking - RD, FD",500,Wealth generation,4
Male,28,1,300000,Mutual Funds,2500,Wealth generation,8
Female,26,1,150000,"Banking - RD, FD",1500,Regarding your / Your Siblings marriage,3
Male,23,0,0,"Banking - RD, FD",0,Children's education/ Marriage,0
Male,20,0,0,"Banking - RD, FD",5000,Personal Savings,1
Male,18,0,360000,Crypto currency,30000,Children's education/ Marriage,2
Male,23,1,0,"Stocks - Intraday, long term",10,Children's education/ Marriage,10
Male,22,0,0,"Stocks - Intraday, long term",100,Construction of own House / Buying a new Car,10
Male,18,0,0,"Banking - RD, FD",5000,Planning for finacial freedom after Retirement,25
Male,20,0,0,"Stocks - Intraday, long term",0,Personal Savings,2
Male,28,1,250000,"Stocks - Intraday, long term",1500,Wealth generation,4
Male,23,0,0,"Stocks - Intraday, long term",10000,Wealth generation,5
Female,28,1,120000,Mutual Funds,1000,Children's education/ Marriage,5
